txn_id,account_id,txn_date,amount,txn_type,channel
500117,2902,2025-03-20,1500.24,Debit,Online
500118,2195,2023-03-02,5784.22,Credit,Branch
500119,2295,2024-08-07,5307.33,Credit,Online
500120,2965,2024-03-02,1407.72,Debit,Online
500121,3020,2022-07-08,4327.31,Credit,ATM
500122,3031,2024-03-29,892.44,Debit,Online
500123,2515,2024-02-23,2140.61,Credit,Branch
500124,3231,2021-10-20,637.06,Credit,POS
500125,2074,2021-11-23,874.83,Debit,ATM
500126,3282,2023-09-12,715.5,Credit,Online
500127,2454,2022-09-02,1721.25,Credit,Online
500128,2931,2025-05-14,888.31,Credit,Branch
500129,3359,2021-10-14,1209.32,Credit,POS
500130,2384,2019-03-19,2191.12,Credit,Online
500131,2617,2024-09-01,37.88,Debit,POS
500132,3243,2024-03-05,2859.47,Credit,Branch
500133,3297,2025-04-13,555.69,Credit,ATM
500134,2353,2025-05-25,4366.8,Credit,ATM
500135,2763,2024-07-23,3488.5,Credit,Branch
500136,2500,2023-02-11,225.27,Debit,Branch
500137,2776,2023-12-24,486.72,Credit,Branch
500138,2569,2019-08-15,3108.63,Debit,ATM
500139,2008,2024-03-03,384.13,Debit,Online
500140,3387,2019-12-23,79.48,Credit,POS
500141,2956,2019-05-05,1037.73,Credit,POS
500142,2693,2018-04-08,193.84,Credit,ATM
500143,2162,2025-05-19,474.39,Credit,Branch
500144,2107,2024-12-25,653.06,Debit,POS
500145,2719,2025-01-09,2516.54,Debit,Online
500146,2974,2024-12-22,1027.92,Credit,POS
500147,2391,2024-11-14,479.49,Debit,POS
500148,3117,2024-12-19,1820.64,Debit,Branch
500149,2589,2024-07-05,837.94,Debit,POS
500150,2017,2023-11-03,3312.7,Debit,Branch
500151,2806,2024-01-13,4052.2,Debit,Branch
500152,2272,2025-03-15,487.46,Debit,Branch
500153,2022,2025-08-16,171.79,Debit,ATM
500154,2196,2023-11-08,542.88,Debit,POS
500155,2427,2023-11-18,2382.44,Debit,POS
500156,2773,2025-03-08,3437.43,Credit,POS
500157,3485,2024-04-05,4104.47,Credit,Online
500158,2328,2025-04-19,4043.31,Credit,ATM
500159,2087,2025-04-05,1087.23,Credit,POS
500160,2287,2024-06-06,1175.18,Debit,Online
500161,2480,2021-12-07,3768.69,Debit,Branch
500162,2308,2024-03-12,688.72,Debit,Online
500163,2483,2024-05-16,5146.32,Credit,ATM
500164,3454,2023-06-11,991.39,Debit,ATM
500165,2570,2023-11-16,400.8,Credit,Online
500166,2953,2024-09-04,2453.84,Credit,Online
500167,3028,2024-09-06,1150.05,Credit,Online
500168,2196,2025-03-03,2047.43,Credit,ATM
500169,2372,2025-02-09,642.86,Debit,ATM
500170,2624,2021-06-14,251.93,Debit,ATM
500171,2691,2020-09-09,2552.36,Debit,Branch
500172,2020,2024-06-28,1316.9,Debit,POS
500173,2968,2022-09-27,1520.29,Credit,ATM
500174,2452,2019-12-09,697.27,Credit,Branch
500175,2484,2025-03-15,614.47,Credit,Online
500176,2905,2025-02-19,3178.94,Credit,POS
500177,3424,2023-10-24,3858.66,Credit,POS
500178,3298,2024-03-15,151.28,Credit,Branch
500179,3470,2025-04-22,1704.69,Credit,Branch
500180,2621,2023-05-25,64.72,Debit,POS
500181,2180,2023-09-15,491.41,Credit,ATM
500182,2324,2025-03-31,2231.1,Debit,Online
500183,2516,2025-06-19,1623.15,Credit,Online
500184,2451,2023-07-16,212.02,Credit,ATM
500185,2312,2023-11-10,810.02,Debit,POS
500186,2227,2025-04-18,465.87,Credit,Online
500187,2281,2019-07-25,2181.81,Debit,Online
500188,2988,2022-10-12,5676.73,Credit,ATM
500189,2737,2024-06-05,1884.81,Credit,Online
500190,2057,2024-04-07,2560.49,Credit,ATM
500191,2846,2024-05-16,104.91,Credit,Branch
500192,3264,2024-07-23,2060.95,Credit,POS
500193,2639,2023-03-07,1021.43,Debit,POS
500194,2478,2024-05-27,560.56,Credit,Online
500195,2409,2024-06-24,130.05,Credit,Online
500196,2570,2024-10-18,273.59,Debit,Branch
500197,2418,2021-12-14,252.18,Credit,ATM
500198,3387,2020-12-22,839.66,Debit,Branch
500199,3489,2023-09-20,108.35,Credit,Online
500200,2515,2023-04-30,5207.14,Credit,Online
500201,3386,2024-07-26,1915.32,Debit,POS
500202,3281,2024-07-24,2173.04,Credit,POS
500203,2114,2022-08-08,335.09,Credit,Branch
500204,2737,2024-05-08,1037.87,Debit,Branch
500205,2985,2021-12-13,758.84,Credit,Online
500206,2634,2025-03-27,530.39,Credit,Branch
500207,2686,2023-02-20,1007.51,Debit,ATM
500208,2742,2025-03-05,3934.1,Credit,ATM
500209,3034,2025-03-28,3646.71,Credit,Branch
500210,2441,2022-08-08,9472.83,Debit,Branch
500211,2896,2024-02-23,119.02,Debit,ATM
500212,2366,2023-01-01,904.9,Credit,ATM
500213,3334,2018-06-18,482.42,Credit,POS
500214,2128,2025-06-28,1879.7,Debit,Branch
500215,2101,2025-07-21,940.98,Credit,POS
500216,2057,2024-04-16,3801.07,Credit,Branch
500217,2525,2023-08-05,3808.01,Credit,Online
500218,2910,2018-08-16,1675.7,Credit,POS
500219,3479,2024-07-20,373.45,Debit,Online
500220,2682,2025-03-12,88.07,Debit,POS
500221,2274,2024-08-15,246.25,Credit,Branch
500222,2553,2024-02-24,3831.45,Credit,Online
500223,2192,2025-07-21,1921.3,Credit,Branch
500224,2708,2024-09-13,897.83,Debit,Online
500225,3094,2024-08-15,1592.19,Credit,ATM
500226,2054,2022-09-26,893.67,Credit,POS
500227,3167,2024-09-19,1360.61,Debit,ATM
500228,2343,2025-04-04,599.54,Credit,POS
500229,3009,2023-03-12,944.73,Debit,POS
500230,3224,2024-05-24,580.06,Credit,POS
500231,3165,2025-04-17,156.12,Debit,ATM
500232,3005,2025-05-28,6.16,Debit,Branch
500233,3041,2024-09-30,1310.98,Credit,ATM
500234,2282,2023-08-01,2249.62,Debit,Branch
500235,2204,2025-06-06,238.19,Credit,ATM
500236,2572,2024-05-29,1551.4,Debit,POS
500237,2913,2025-04-15,6214.56,Credit,Branch
500238,2928,2025-08-11,840.89,Credit,Branch
500239,3166,2021-07-31,709.13,Credit,Branch
500240,2463,2024-07-05,47.46,Debit,Online
500241,3299,2024-01-26,1359.54,Debit,Online
500242,2674,2025-02-22,777.45,Credit,Online
500243,2370,2025-04-17,131.72,Debit,Branch
500244,3104,2025-02-24,5997.51,Debit,Online
500245,2192,2023-12-21,3083.29,Credit,POS
500246,2608,2025-03-01,1014.72,Debit,POS
500247,3172,2023-06-27,1755.09,Debit,POS
500248,3157,2023-02-04,4751.16,Debit,ATM
500249,2385,2024-05-08,205.1,Credit,Online
500250,2250,2025-03-07,458.93,Credit,Online
500251,2048,2023-02-23,2709.61,Debit,Online
500252,2135,2023-04-01,830.37,Debit,ATM
500253,3238,2023-08-16,1551.24,Credit,POS
500254,3176,2025-07-29,1376.1,Credit,ATM
500255,2759,2024-01-08,642.9,Credit,ATM
500256,2856,2023-01-16,293.78,Debit,Branch
500257,2490,2023-01-10,1565.66,Credit,Online
500258,2289,2024-02-02,123.76,Credit,Online
500259,2018,2024-02-28,4124.48,Credit,POS
500260,3008,2025-03-18,233.92,Credit,ATM
500261,2053,2022-12-12,625.48,Debit,POS
500262,2158,2024-04-21,1438.42,Debit,POS
500263,3189,2025-01-10,603.61,Debit,Branch
500264,2875,2024-06-11,482.28,Debit,ATM
500265,2735,2025-05-16,261.31,Credit,ATM
500266,2328,2025-03-14,120.16,Credit,POS
500267,2225,2020-09-06,149.9,Debit,POS
500268,2700,2023-12-31,2578.05,Debit,POS
500269,2538,2024-12-29,783.95,Credit,ATM
500270,2802,2024-06-30,1865.8,Debit,POS
500271,2248,2022-02-22,5201.82,Credit,ATM
500272,2348,2025-05-19,3947.74,Debit,Branch
500273,2170,2023-10-07,289.65,Credit,Online
500274,2637,2021-11-09,5833.96,Debit,POS
500275,2415,2024-07-05,1890.57,Credit,ATM
500276,2336,2023-06-28,6341.71,Debit,ATM
500277,2825,2025-01-30,3617.8,Credit,POS
500278,2747,2024-05-11,2515.82,Credit,Online
500279,2316,2025-03-22,8176.04,Debit,Branch
500280,3049,2022-08-10,3764.72,Credit,ATM
500281,2516,2024-07-31,446.62,Debit,Branch
500282,2513,2024-10-21,5610.77,Credit,ATM
500283,2717,2021-08-10,3743.58,Credit,ATM
500284,2209,2024-12-30,197.26,Credit,Branch
500285,2631,2023-01-18,288.92,Credit,ATM
500286,2874,2022-12-19,3439.22,Debit,Branch
500287,2193,2024-08-10,314.27,Debit,POS
500288,2848,2024-02-12,1773.6,Credit,Online
500289,2059,2024-01-12,131.75,Debit,POS
500290,2906,2023-10-11,35.76,Debit,POS
500291,2054,2025-04-16,2708.72,Credit,ATM
500292,2263,2025-04-06,1280.53,Credit,Branch
500293,2526,2024-08-16,1093.68,Credit,POS
500294,2922,2024-08-10,355.55,Debit,ATM
500295,3079,2024-06-18,1192.62,Debit,ATM
500296,2704,2022-02-27,381.32,Credit,Online
500297,2197,2023-06-01,5195.45,Debit,Branch
500298,2582,2022-03-18,258.06,Credit,Branch
500299,3181,2024-05-13,1555.76,Debit,Branch
500300,2136,2024-11-19,2001.55,Debit,Branch
500301,3074,2024-09-04,1385.04,Credit,Online
500302,2579,2025-01-02,90.1,Credit,ATM
500303,2006,2024-07-26,2542.63,Debit,Online
500304,3042,2024-12-11,59.85,Credit,Branch
500305,2041,2024-10-22,4875.42,Debit,Branch
500306,2555,2023-08-13,1034.25,Credit,POS
500307,2293,2023-06-23,1906.72,Credit,ATM
500308,2876,2024-05-10,995.09,Debit,Branch
500309,2085,2023-05-09,546.91,Credit,POS
500310,2137,2024-10-22,2786.23,Credit,POS
500311,2798,2024-06-03,952.65,Debit,POS
500312,3491,2021-09-27,1277.75,Debit,Online
500313,2060,2023-11-02,4810.53,Credit,POS
500314,2692,2022-07-12,288.65,Debit,Online
500315,3204,2025-06-16,7739.53,Credit,Online
500316,2437,2023-12-09,1228.02,Credit,Branch
500317,2740,2025-02-11,530.35,Credit,Online
500318,3259,2024-07-31,2943.02,Credit,Online
500319,3092,2025-01-18,4609.68,Credit,Online
500320,2440,2024-09-03,418.1,Credit,Branch
500321,3127,2024-12-10,304.38,Debit,ATM
500322,3014,2022-11-24,6539.32,Debit,Online
500323,2761,2023-10-28,736.76,Credit,Online
500324,2662,2020-09-19,2521.68,Debit,ATM
500325,3389,2024-08-21,2986.41,Credit,Online
500326,3312,2024-10-15,3.07,Debit,Branch
500327,3486,2024-11-05,2865.95,Debit,Online
500328,3014,2025-08-11,301.62,Credit,ATM
500329,2539,2024-10-13,1419.64,Debit,ATM
500330,2165,2021-09-12,1076.47,Credit,POS
500331,2189,2022-08-17,2283.18,Credit,POS
500332,3427,2023-02-03,1814.08,Debit,ATM
500333,2545,2024-11-05,8148.32,Credit,Online
500334,2166,2023-07-23,1496.48,Credit,ATM
500335,2336,2025-05-13,4015.45,Credit,Online
500336,2032,2021-06-30,814.55,Credit,ATM
500337,2797,2023-11-15,1494.69,Debit,Branch
500338,2887,2022-08-10,443.67,Debit,Branch
500339,2568,2025-04-30,105.61,Credit,ATM
500340,3117,2025-06-14,764.66,Debit,Branch
500341,2721,2025-05-18,1571.44,Credit,Branch
500342,3440,2025-02-07,4577.39,Credit,Branch
500343,3145,2025-07-09,1094.93,Debit,Branch
500344,2113,2022-08-29,148.56,Credit,Online
500345,2412,2018-09-15,146.11,Credit,Online
500346,3132,2022-07-02,520.68,Credit,Online
500347,2807,2024-02-08,908.46,Debit,Branch
500348,3130,2024-05-15,1126.68,Credit,ATM
500349,2503,2024-04-27,14.38,Debit,Online
500350,2058,2020-10-06,1417.75,Debit,Branch
500351,3178,2024-05-12,5468.27,Credit,ATM
500352,3178,2024-06-30,2457.42,Credit,POS
500353,2960,2019-12-16,954.78,Debit,POS
500354,2607,2024-08-05,911.0,Debit,ATM
500355,2013,2024-08-08,720.68,Credit,POS
500356,3092,2024-02-27,1332.49,Debit,POS
500357,2991,2024-01-04,303.22,Debit,Branch
500358,3002,2025-03-03,709.95,Debit,Branch
500359,2256,2023-08-24,5462.68,Credit,POS
500360,3097,2020-09-17,1587.52,Debit,ATM
500361,3087,2025-07-17,130.42,Credit,ATM
500362,3287,2024-09-21,20.51,Credit,Branch
500363,2852,2019-09-21,449.86,Credit,Branch
500364,3098,2021-10-08,586.16,Credit,ATM
500365,2603,2025-06-23,163.36,Credit,Online
500366,3046,2024-05-14,238.0,Debit,POS
500367,3042,2024-12-10,485.69,Credit,Branch
500368,3170,2024-02-17,181.55,Credit,Branch
500369,3285,2024-06-04,586.32,Credit,POS
500370,2005,2019-08-12,1457.42,Credit,POS
500371,3169,2022-08-10,2338.97,Credit,POS
500372,3189,2024-10-07,592.46,Debit,POS
500373,2819,2023-03-01,1595.14,Credit,Branch
500374,2780,2025-05-31,1712.81,Credit,POS
500375,3085,2022-07-24,458.25,Credit,POS
500376,2683,2018-03-25,3401.67,Debit,ATM
500377,2621,2025-03-22,1950.32,Debit,Online
500378,3206,2024-02-02,515.42,Credit,Online
500379,3184,2024-12-09,2698.91,Debit,ATM
500380,2311,2024-09-11,2845.56,Debit,Online
500381,3244,2024-08-23,260.26,Debit,Online
500382,2490,2025-05-02,106.11,Debit,ATM
500383,2206,2024-05-08,1762.86,Debit,Branch
500384,3318,2017-10-15,6335.88,Debit,POS
500385,2358,2025-01-07,2715.7,Credit,POS
500386,2305,2024-08-11,3638.93,Debit,Branch
500387,2405,2023-06-08,4621.47,Credit,Branch
500388,2738,2020-03-01,146.36,Debit,Branch
500389,2250,2023-03-19,950.54,Debit,Online
500390,2240,2024-08-15,825.93,Credit,Branch
500391,2589,2021-04-08,1652.76,Credit,POS
500392,2327,2024-08-22,967.85,Debit,POS
500393,2290,2023-12-04,76.92,Debit,Branch
500394,3369,2023-07-07,414.75,Credit,ATM
500395,2894,2024-10-06,228.14,Credit,Online
500396,2021,2022-10-29,3097.66,Credit,Online
500397,2153,2024-05-27,863.13,Credit,Branch
500398,3221,2024-07-28,940.53,Debit,Branch
500399,2405,2024-07-09,1343.7,Credit,ATM
500400,2229,2024-06-11,2012.73,Debit,Branch
500401,2999,2022-12-23,3012.53,Debit,Branch
500402,3258,2020-05-22,925.92,Debit,POS
500403,2598,2025-05-18,4028.34,Debit,POS
500404,3115,2022-12-26,657.67,Credit,ATM
500405,2633,2024-07-23,926.91,Debit,Online
500406,2164,2023-04-17,749.51,Credit,Branch
500407,3197,2022-04-22,59.55,Debit,ATM
500408,3379,2024-03-26,2788.2,Debit,Branch
500409,3477,2024-03-09,1397.28,Debit,Online
500410,2151,2025-04-17,5.0,Debit,POS
500411,2848,2024-08-16,5802.8,Debit,Online
500412,2936,2022-09-29,1021.92,Debit,Online
500413,2119,2021-05-09,811.92,Debit,Online
500414,3428,2023-03-25,519.93,Credit,Online
500415,2155,2024-12-31,2098.14,Credit,Online
500416,2404,2024-06-25,2152.13,Debit,Online
500417,3453,2025-06-24,1088.39,Credit,ATM
500418,2835,2022-12-15,1753.33,Credit,POS
500419,3019,2024-01-30,895.12,Debit,POS
500420,2741,2024-05-18,338.06,Credit,ATM
500421,3129,2025-06-23,1467.5,Debit,POS
500422,2123,2024-04-16,2734.19,Debit,Branch
500423,3014,2024-01-06,1374.63,Credit,ATM
500424,2100,2024-09-24,631.18,Credit,Branch
500425,2270,2024-01-30,891.2,Debit,Branch
500426,2760,2024-12-23,1539.3,Debit,Online
500427,2673,2025-05-30,10189.94,Credit,Branch
500428,2229,2024-06-11,78.77,Debit,Online
500429,3198,2023-01-23,717.68,Debit,Branch
500430,2453,2025-06-15,636.54,Debit,ATM
500431,3300,2020-12-22,1378.51,Debit,Branch
500432,2023,2024-07-18,987.12,Credit,POS
500433,2357,2022-02-07,1336.41,Debit,ATM
500434,2446,2024-01-29,1718.51,Credit,POS
500435,2894,2024-05-21,2444.56,Debit,ATM
500436,2602,2024-01-09,3527.98,Debit,ATM
500437,2236,2023-03-17,6652.65,Credit,POS
500438,2857,2022-10-31,994.27,Credit,Online
500439,3438,2025-06-28,92.19,Debit,Online
500440,2201,2022-09-12,1266.92,Credit,Branch
500441,2379,2021-09-26,1979.02,Credit,Online
500442,2718,2024-06-03,151.42,Debit,POS
500443,3090,2024-06-15,150.04,Debit,POS
500444,2205,2024-08-21,3797.22,Credit,Online
500445,2347,2022-09-21,406.57,Credit,Branch
500446,2353,2025-01-25,1276.12,Debit,Online
500447,2925,2018-10-21,236.35,Credit,POS
500448,2124,2023-08-07,1596.26,Debit,POS
500449,2989,2025-04-19,1020.27,Debit,Branch
500450,2639,2023-09-06,5436.24,Debit,ATM
500451,2493,2024-04-23,1725.78,Debit,Online
500452,3294,2020-01-19,2622.71,Credit,Online
500453,3229,2025-08-10,4200.24,Debit,ATM
500454,3205,2024-01-10,306.71,Debit,Branch
500455,3329,2025-06-04,1040.2,Debit,Online
500456,2351,2021-02-24,5759.09,Debit,ATM
500457,3283,2023-08-19,2387.27,Credit,POS
500458,2264,2023-04-11,1709.67,Debit,ATM
500459,2497,2025-07-22,1636.22,Debit,Branch
500460,2834,2024-07-17,3733.23,Debit,Online
500461,3117,2025-02-21,560.56,Debit,Branch
500462,2867,2023-09-07,1925.51,Credit,POS
500463,2840,2025-08-17,3120.97,Debit,Branch
500464,2565,2022-03-17,833.25,Credit,POS
500465,2889,2017-04-05,3749.59,Debit,Online
500466,2713,2025-03-20,6800.46,Debit,ATM
500467,2717,2025-08-15,1402.12,Debit,ATM
500468,2879,2025-05-22,371.24,Debit,Branch
500469,2901,2024-10-15,1771.64,Debit,Online
500470,2495,2025-06-04,767.12,Credit,ATM
500471,2204,2023-07-12,1868.26,Debit,ATM
500472,2450,2023-02-04,2815.11,Debit,Branch
500473,2614,2022-01-31,10277.25,Credit,Branch
500474,2242,2025-05-26,210.84,Credit,POS
500475,2267,2022-01-20,3701.55,Debit,POS
500476,3427,2022-09-22,1824.3,Credit,Branch
500477,2421,2023-12-26,4098.41,Credit,ATM
500478,3109,2024-07-03,2065.54,Credit,Branch
500479,2192,2023-08-07,2327.73,Credit,POS
500480,3459,2024-04-11,931.89,Debit,Branch
500481,2319,2022-05-02,2954.09,Credit,Online
500482,2591,2025-04-12,2993.35,Credit,Online
500483,3173,2021-10-08,913.15,Credit,ATM
500484,2303,2024-07-19,2472.46,Debit,Online
500485,2825,2024-08-01,2183.7,Debit,ATM
500486,3179,2020-11-09,2206.28,Credit,ATM
500487,2036,2024-03-11,1335.09,Credit,Online
500488,2039,2025-07-02,171.91,Credit,ATM
500489,3183,2025-01-12,570.3,Debit,Online
500490,2395,2023-06-29,7547.65,Debit,POS
500491,3365,2023-05-29,1359.41,Debit,ATM
500492,3392,2025-02-19,5956.79,Credit,Online
500493,3321,2025-05-27,1394.07,Debit,Branch
500494,3496,2025-03-09,1903.19,Debit,POS
500495,3235,2024-08-22,998.45,Credit,Online
500496,2576,2021-07-18,1616.7,Debit,Branch
500497,3489,2024-08-16,4720.25,Debit,ATM
500498,2519,2024-12-12,2282.23,Credit,ATM
500499,2880,2025-02-22,2453.9,Credit,Branch
500500,2009,2024-08-08,3013.82,Debit,Online
500501,3444,2024-11-06,342.87,Debit,Branch
500502,2888,2022-04-26,56.01,Credit,Branch
500503,3424,2018-01-08,1883.09,Credit,Online
500504,2530,2024-07-28,4314.76,Credit,ATM
500505,2470,2023-06-02,645.66,Debit,Branch
500506,2784,2023-09-17,8626.03,Debit,Branch
500507,3296,2025-02-15,758.54,Credit,POS
500508,2824,2025-06-17,168.73,Debit,POS
500509,3189,2025-04-21,441.89,Credit,POS
500510,2322,2023-01-14,5342.74,Credit,POS
500511,3164,2022-10-27,485.48,Debit,Branch
500512,3099,2023-08-25,65.86,Debit,Branch
500513,3345,2024-07-29,460.32,Debit,Branch
500514,2087,2025-04-09,542.74,Credit,Online
500515,2577,2025-04-10,2066.42,Credit,POS
500516,2134,2021-03-30,1025.98,Credit,Branch
500517,2601,2023-09-05,5456.37,Debit,ATM
500518,3139,2024-04-14,4460.78,Credit,POS
500519,2961,2025-03-23,1184.48,Credit,Online
500520,3130,2024-01-15,3500.32,Credit,Branch
500521,3107,2025-01-30,4037.09,Credit,POS
500522,3489,2021-10-25,1357.68,Credit,Branch
500523,3320,2024-04-09,113.42,Credit,POS
500524,2880,2025-07-02,1185.36,Credit,ATM
500525,3314,2022-01-07,74.83,Credit,Branch
500526,2072,2025-01-27,6533.31,Credit,Branch
500527,3083,2024-03-15,1193.06,Credit,POS
500528,2784,2024-11-09,1960.01,Debit,Online
500529,3436,2024-04-22,3785.85,Credit,ATM
500530,2756,2023-03-25,2851.34,Debit,POS
500531,2268,2024-08-18,13.59,Debit,POS
500532,3087,2024-02-16,1709.25,Debit,ATM
500533,3426,2023-10-20,979.55,Credit,Branch
500534,2025,2025-06-29,7434.42,Debit,POS
500535,2097,2024-06-28,2885.45,Credit,Branch
500536,2992,2025-05-04,86.12,Credit,Branch
500537,2834,2025-03-04,1489.93,Credit,ATM
500538,2823,2024-04-24,878.83,Credit,Branch
500539,2136,2024-09-14,1792.62,Debit,Branch
500540,2859,2025-02-07,217.71,Credit,Branch
500541,2853,2024-04-28,986.23,Credit,ATM
500542,3274,2021-05-23,1084.75,Credit,Online
500543,2586,2024-01-10,3939.78,Credit,ATM
500544,2522,2020-09-09,674.04,Credit,ATM
500545,2123,2023-04-06,793.6,Debit,Online
500546,2851,2025-01-17,2616.9,Debit,Online
500547,2973,2024-06-21,5506.17,Credit,POS
500548,2422,2017-12-11,1125.46,Debit,POS
500549,3097,2019-05-22,2383.37,Credit,Online
500550,3408,2019-09-18,626.07,Credit,Online
500551,2262,2022-09-21,882.79,Debit,POS
500552,2860,2023-04-07,3820.23,Debit,POS
500553,3042,2024-07-10,1444.97,Credit,ATM
500554,2028,2024-10-20,574.99,Debit,POS
500555,2269,2024-05-10,986.58,Credit,Branch
500556,2594,2020-11-19,2514.93,Credit,Branch
